iter	RMSE
0	0.4106238614
1	0.4100731658
2	0.4091897282
3	0.4079402849
4	0.4070624323
5	0.4056050681
6	0.4044499745
7	0.4031589378
8	0.4020286775
9	0.4016428682
10	0.4010115112
11	0.4007226069
12	0.4004093298
13	0.3997293684
14	0.3992512826
15	0.3983789594
16	0.3979347404
17	0.3972920812
18	0.3967767207
19	0.396338679
20	0.3959160149
21	0.3954334963
22	0.3949807484
23	0.3942702562
24	0.3938166906
25	0.3926747637
26	0.392241851
27	0.3916018276
28	0.3907971985
29	0.3905576531
30	0.3899697522
31	0.3890123238
32	0.3886517048
33	0.3879002841
34	0.3872293044
35	0.3870243455
36	0.3867838841
37	0.3867811659
38	0.3860318053
39	0.385981136
40	0.3855728871
41	0.385336875
42	0.3851643287
43	0.3844590921
44	0.3833847795
45	0.3831063486
46	0.3829746275
47	0.3826379134
48	0.3818048491
49	0.3816823001
50	0.3810946139
51	0.3808091724
52	0.3803325978
53	0.3795851543
54	0.3790260587
55	0.3782341589
56	0.3773463582
57	0.3772924746
58	0.3760978836
59	0.3757001289
60	0.3754147368
61	0.3744474405
62	0.3738889051
63	0.3731511408
64	0.3725956671
65	0.3719107629
66	0.3716413704
67	0.3713016547
68	0.3707081956
69	0.370047163
70	0.3699050256
71	0.369839834
72	0.3697639292
73	0.3693748707
74	0.3682034183
75	0.3680370932
76	0.367334311
77	0.3673193617
78	0.3671579805
79	0.36673441
80	0.3665301909
81	0.3664272809
82	0.3661944149
83	0.3660272344
84	0.3652748699
85	0.3647056835
86	0.364054046
87	0.3640538019
88	0.3639721547
89	0.3636634739
90	0.3628204135
91	0.3620603535
92	0.3615837543
93	0.3607241394
94	0.3605412668
95	0.3599626055
96	0.359924727
97	0.3597811436
98	0.3595770993
99	0.3594433326
100	0.3593584174
101	0.3591115522
102	0.3590761717
103	0.3590212277
104	0.3589679771
105	0.3575985325
106	0.3571686431
107	0.3563564459
108	0.3558419604
109	0.3555145598
110	0.3554111849
111	0.3547946595
112	0.3544367479
113	0.3542498284
114	0.3541455601
115	0.3538599407
116	0.3536933653
117	0.3530025486
118	0.3527697739
119	0.3522780343
120	0.3518081385
121	0.3515426998
122	0.3513375187
123	0.3508762216
124	0.3502453468
125	0.3493590003
126	0.3487760971
127	0.347642145
128	0.3475647494
129	0.3468246753
130	0.346707066
131	0.3466844729
132	0.3466551001
133	0.346581482
134	0.346466783
135	0.3464455225
136	0.346345113
137	0.345712123
138	0.345694463
139	0.3456273469
140	0.34527125
141	0.3449751244
142	0.3444730579
143	0.343776946
144	0.3436295906
145	0.3428731477
146	0.3424686256
147	0.3421160015
148	0.3420749815
149	0.3416617678
150	0.3410709736
151	0.3410656418
152	0.340380213
153	0.3403619759
154	0.3393188461
155	0.3389786998
156	0.3385311279
157	0.3380824276
158	0.3375217841
159	0.3365271695
160	0.3361386894
161	0.3354017044
162	0.3353460431
163	0.3349840313
164	0.3344727532
165	0.3337212787
166	0.333055573
167	0.3325244991
168	0.3322994832
169	0.3318956823
170	0.3308203736
171	0.3306687234
172	0.3302109132
173	0.329828978
174	0.3296315308
175	0.3292531327
176	0.329120262
177	0.328467615
178	0.3278698467
179	0.3272944617
180	0.3267992909
181	0.3262652356
182	0.3259243973
183	0.3253616295
184	0.3248120305
185	0.3244262592
186	0.3237959634
187	0.3232361058
188	0.3231194934
189	0.3227440486
190	0.3225505566
191	0.3218417775
192	0.3212353782
193	0.3208598852
194	0.3203829887
195	0.3199753
196	0.3194747305
197	0.3189384493
198	0.3185954143
199	0.3178559093
200	0.3171860723
201	0.316701929
202	0.3162247349
203	0.3157810271
204	0.3155583068
205	0.3150110512
206	0.3145555203
207	0.3140843531
208	0.3133553435
209	0.313096407
210	0.3126031559
211	0.3123825912
212	0.3122744515
213	0.3114767205
214	0.311035923
215	0.3104231793
216	0.3099910317
217	0.3094874055
218	0.3091963877
219	0.3087199956
220	0.30827066
221	0.3077544664
222	0.3076515622
223	0.307286298
224	0.3067612055
225	0.3062784875
226	0.3060476043
227	0.3056212925
228	0.3051799258
229	0.3047049079
230	0.3042573113
231	0.3038502088
232	0.3034321194
233	0.302949006
234	0.3024689733
235	0.3014799417
236	0.3009905843
237	0.3008557331
238	0.3002925643
239	0.3000403562
240	0.2994752236
241	0.2990704957
242	0.2983945765
243	0.2981403684
244	0.2974403247
245	0.2972363199
246	0.2967015007
247	0.2963251131
248	0.295640607
249	0.2949401679
250	0.2946235663
251	0.2938896003
252	0.2929577597
253	0.2921933182
254	0.291390093
255	0.2911929734
256	0.2907165721
257	0.2902937843
258	0.2901243717
259	0.2896514482
260	0.2887926132
261	0.2884397777
262	0.2882758112
263	0.2880901317
264	0.2878026574
265	0.2876219477
266	0.2874453847
267	0.287202702
268	0.2870310725
269	0.2868609321
270	0.286516978
271	0.2857964683
272	0.285561159
273	0.2852246285
274	0.2850783869
275	0.2849345094
276	0.2842552522
277	0.2835930709
278	0.2828972887
279	0.2827335165
280	0.2819834663
281	0.2818221186
282	0.2814990625
283	0.2812780154
284	0.280543318
285	0.2804049168
286	0.2800803923
287	0.2793507315
288	0.2789880757
289	0.2787719277
290	0.2784706313
291	0.2777508869
292	0.2775414311
293	0.2768626265
294	0.2765635107
295	0.2764204093
296	0.2762966676
297	0.2755863551
298	0.275447156
299	0.2753101528
300	0.2746502364
301	0.2745172786
302	0.2743865403
303	0.2734181225
304	0.2733020709
305	0.272696826
306	0.272565898
307	0.2718766063
308	0.2712450551
309	0.2709291038
310	0.270248739
311	0.26957832
312	0.2689176919
313	0.2682619081
314	0.2679323909
315	0.2672866374
316	0.2670156231
317	0.2666675704
318	0.2663477046
319	0.2657100573
320	0.2653711819
321	0.2651103671
322	0.2647770787
323	0.264465978
324	0.2643447395
325	0.2637133511
326	0.2631556885
327	0.2630478488
328	0.2624248575
329	0.261814635
330	0.2612096289
331	0.2603343748
332	0.2598066055
333	0.2594794054
334	0.2593603506
335	0.2587755426
